# QC Report for S3
# Generated by step3_normalization.py

## Summary Statistics
study_id: S3
n_samples: 289
n_samples_AD: 219
n_samples_Control: 70
n_genes_total: 30727
n_genes_variable: 29549
total_raw_counts: 153952928
mean_counts_per_sample: 532709.10
median_counts_per_sample: 468937.90
mean_detected_genes_per_sample: 22704.31
mean_zero_percent: 26.11

## Sample-level QC Metrics
sample_id	total_counts	mean_expression	median_expression	std_expression	min_expression	max_expression	zero_count	zero_percent	detected_genes
GSM3577568	681078.9897524922	22.165489301021648	0.695567761820189	465.15328582874196	0.0	43333.0228330323	9746	31.7180330002929	20981
GSM3577569	558654.6278670451	18.181229142677292	0.86097552114072	443.32793998020776	0.0	34743.68755393	7638	24.857617079441532	23089
GSM3577570	597573.9032990251	19.447844023140078	0.838500505910798	538.4148194644858	0.0	41270.2090092475	8286	26.96651153708465	22441
GSM3577571	837101.9175060119	27.24320361590822	0.798795026218954	816.6279452344953	0.0	56165.9944196931	8370	27.239886744556905	22357
GSM3577572	578441.8680732881	18.825198297044558	0.884832382019418	474.6275368309944	0.0	33501.8274863761	7896	25.697269502392032	22831
GSM3577573	552488.8558304707	17.98056614151953	0.778949686715001	457.6588816151411	0.0	35753.2885810672	8158	26.549939792365016	22569
GSM3577574	363180.77275526564	11.819597512131534	0.837006870587757	192.26321796563784	0.0	15687.613984008	7468	24.304357730985778	23259
GSM3577575	708845.4394414979	23.069139175366875	0.841557724610997	672.8905488484181	0.0	55108.5993143059	8168	26.58248445992124	22559
GSM3577576	337084.0485181382	10.970288297527848	0.833137198017593	112.04388122129471	0.0	9803.75575652962	7313	23.799915383864352	23414
GSM3577577	902530.8581604281	29.372566738061902	0.684583728693745	927.1823602986759	0.0	63209.5504406499	8690	28.281316106355973	22037
GSM3577578	558202.2842233313	18.166507769171453	0.839225802506096	432.99105772782383	0.0	29436.721844683	7862	25.586617632700882	22865
GSM3577579	500775.37681006175	16.29756815862472	0.814108261345427	367.3426804855718	0.0	31680.1605220664	7492	24.38246493312071	23235
GSM3577580	321865.18950941076	10.474995590503816	0.864643065177951	120.00487961769524	0.0	10282.3824390183	7262	23.633937579327625	23465
GSM3577581	330848.61849750543	10.767358300436275	0.896695450754761	128.49995611749256	0.0	9282.11782413639	7368	23.97891105542357	23359
GSM3577582	1347132.0621919069	43.84196511836193	0.706329936018042	1588.658521645911	0.0	125332.306362072	9742	31.705015133270415	20985
GSM3577583	407014.18878020986	13.24614146451687	0.840689426633693	242.6322550255141	0.0	23631.4410525087	7597	24.72418394246103	23130
GSM3577584	540917.078256481	17.603966487339505	0.7884269459605	388.6962224599182	0.0	33167.6307832363	8156	26.543430858853778	22571
GSM3577585	346708.9732079946	11.283528271812887	0.778640637847146	144.6489507951801	0.0	9979.62295435922	8223	26.761480131480457	22504
GSM3577586	400462.88997426606	13.032931622815962	0.843610459289899	216.04207177118982	0.0	14684.5404170417	7880	25.64519803430208	22847
GSM3577587	303037.88515942614	9.862267229453774	0.804352156991293	89.80735986592401	0.0	7474.84571858989	7949	25.869756240440005	22778
GSM3577588	1252314.5298309238	40.756160049172514	0.552999863127718	1198.3444749958178	0.0	117450.643030836	11372	37.00979594493442	19355
GSM3577589	424945.6574885921	13.829715152425948	0.748639046566122	232.37169076593503	0.0	23443.8376189559	8328	27.103199140820777	22399
GSM3577590	356584.28811987635	11.60491711263307	0.890844657752397	167.76590135772236	0.0	13264.717889541	7597	24.72418394246103	23130
GSM3577591	482262.3409800053	15.695067562079124	0.816699978986847	348.33613288817475	0.0	34756.4241942029	7365	23.969147655156704	23362
GSM3577592	376462.97796630213	12.251862465138222	0.796991027509181	192.85289365406265	0.0	14121.9613675377	7880	25.64519803430208	22847
GSM3577593	463690.4608077912	15.090651895980448	0.799729458365576	326.5678336534862	0.0	23729.4047690248	7977	25.960881309597422	22750
GSM3577594	327587.75734335335	10.661234658227402	0.972380074344994	140.0206132587126	0.0	9712.07780604048	7359	23.949620854622967	23368
GSM3577595	438418.14176856267	14.268172674474002	0.836269084908622	292.6003926650023	0.0	24026.353963065	7462	24.284830930452046	23265
GSM3577596	539792.7563990098	17.567375806261914	0.751921509969553	439.551846869078	0.0	41964.9904156139	9006	29.309727601132558	21721
GSM3577597	565510.1730287457	18.404340580881495	0.793931189360761	426.95620651104133	0.0	30732.1740160548	8334	27.12272594135451	22393
GSM3577598	634518.0948216771	20.650180454378138	0.69380660578543	516.3962931613343	0.0	40972.8174676182	9111	29.651446610472874	21616
GSM3577599	402186.60369200265	13.089029312721797	0.760102275177438	157.91574555635995	0.0	14556.2914228764	7756	25.24164415660494	22971
GSM3577600	361611.36223713576	11.76852156855976	0.89221377905314	168.24157176921506	0.0	12744.4612819396	7362	23.959384254889837	23365
GSM3577601	451424.3791800014	14.69145634718656	0.868605895981781	312.47089049502796	0.0	23972.6905866615	7594	24.714420542194162	23133
GSM3577602	534415.7714369196	17.392383618215888	0.712560297850975	389.05623073750314	0.0	40628.3475776415	8419	27.399355615582387	22308
GSM3577603	827317.243862389	26.9247646650304	0.733252497163799	803.9015430481609	0.0	69274.7406664137	8667	28.206463370976664	22060
GSM3577604	321710.7912754158	10.469970751307182	0.834400722120746	113.30086135374412	0.0	11303.8766544528	7209	23.461450841279657	23518
GSM3577605	1604687.0583041513	52.22400684427869	0.66917951372365	1916.904328987452	0.0	149271.596590654	9984	32.49259608813096	20743
GSM3577606	431910.26864000276	14.056376107006956	0.782537594742891	236.33122153411497	0.0	17247.519476319	7599	24.73069287597227	23128
GSM3577607	466986.48521138297	15.197919914452532	0.786184248532111	277.55354544295955	0.0	18236.8492822427	7921	25.778631171282584	22806
GSM3577608	315109.19798317325	10.25512409226977	0.884417458955876	115.57136575542054	0.0	11040.2355960286	7224	23.510267842613988	23503
GSM3577609	684445.502651064	22.275051344129395	0.78848457210775	619.2279591447339	0.0	47815.0010396775	8354	27.187815276466953	22373
GSM3577610	468119.82379864797	15.23480404200371	0.704664587911319	300.3635331224413	0.0	38833.8490259493	8571	27.894034562436943	22156
GSM3577611	1085996.276483041	35.34338778543434	0.7309380694946	1194.2804451561708	0.0	84943.725434445	9026	29.374816936244997	21701
GSM3577612	708512.9669610927	23.058318969020494	0.783673891390233	632.3093302645614	0.0	44405.8185299266	8674	28.22924463826602	22053
GSM3577613	334245.38672405004	10.877904993134704	0.852225748362259	136.27655215464844	0.0	10212.1632443665	7564	24.6167865395255	23163
GSM3577614	639075.6910184218	20.798505907456693	0.601487487961004	360.34536067866134	0.0	29383.6615897541	9198	29.934585218211996	21529
GSM3577615	412482.76645016624	13.424114506790973	0.842721131136773	234.5073728265278	0.0	18356.0554097793	7537	24.528915937123703	23190
GSM3577616	622998.131320471	20.275267071971587	0.799872793577216	550.5617949409959	0.0	41444.0085030904	8565	27.87450776190321	22162
GSM3577617	581567.1966732886	18.92691107733552	0.721264248403468	436.94580784532604	0.0	28046.9096743265	8094	26.34165392000521	22633
GSM3577618	510474.4575850806	16.61322151804864	0.625211294610338	245.62074070706748	0.0	24154.550313532	9126	29.700263611807205	21601
GSM3577619	1047352.0987526004	34.085725868213636	0.698070411235433	1068.619849217654	0.0	88148.2179016014	9432	30.696130439027563	21295
GSM3577620	347857.6490159217	11.320911544111748	0.868391926880598	169.81580529477057	0.0	15942.231620682	7270	23.659973313372603	23457
GSM3577621	612623.3676517447	19.937623837398533	0.715674715334046	459.5161443261627	0.0	40324.9613103879	9012	29.329254401666287	21715
GSM3577622	388562.8125669346	12.645647559701064	0.7715808432815	192.3956543801904	0.0	17217.6439562879	7858	25.573599765678395	22869
GSM3577623	423615.7035927214	13.786432245019734	0.791081373091342	251.58496594702737	0.0	16381.9058423451	7232	23.536303576658966	23495
GSM3577624	623223.7273646856	20.282609020232552	0.723058338746319	472.91538019674056	0.0	45287.3354991457	8326	27.096690207309532	22401
GSM3577625	492004.4497570827	16.012121253525653	0.755298923613541	333.9029540328733	0.0	29249.5638488732	8118	26.41976112214014	22609
GSM3577626	296761.5208545516	9.6580050396899	0.915643606485491	103.1834152433581	0.0	7675.58621535056	7360	23.952875321378592	23367
GSM3577627	560458.2517537226	18.239927482465667	0.650936492931065	402.1321943642896	0.0	34706.5522235892	8836	28.756468252676797	21891
GSM3577628	345953.56258150993	11.258943684105507	0.839687504224889	135.5086482569017	0.0	9825.19218818215	7593	24.71116607543854	23134
GSM3577629	593630.0801073633	19.319493608466928	0.611621984524346	388.3747563265632	0.0	44393.3296379175	9859	32.085787743678196	20868
GSM3577630	469671.7252915336	15.285310160169676	0.844039729788694	352.56250993719857	0.0	25844.3241852395	7884	25.658215901324567	22843
GSM3577631	540975.3308171638	17.605862297561227	0.796246596086691	399.1851644832184	0.0	28165.7205734597	7990	26.00318937742051	22737
GSM3577632	326317.8295304768	10.619905279736935	0.883437591060518	117.91394750022201	0.0	8726.74673832194	7248	23.58837504474892	23479
GSM3577633	488886.6012043382	15.910651908885937	0.744593704589714	310.9998245489531	0.0	25498.8548176664	8104	26.374198587561427	22623
GSM3577634	407249.4731936786	13.253798717534371	0.752356393816238	205.96808919859927	0.0	19749.3110023887	7892	25.68425163536954	22835
GSM3577635	312382.44403659966	10.16638279157092	0.851243626395624	104.6082548797242	0.0	10168.0218749343	7894	25.690760568880787	22833
GSM3577636	473071.02462264535	15.39593922682479	0.791633593321828	305.8208341894729	0.0	24512.0490819962	8137	26.48159599049696	22590
GSM3577637	576360.6142801557	18.75746458424694	0.807485146204991	469.31669363075383	0.0	33391.9745674247	8129	26.45556025645198	22598
GSM3577638	389363.5389689058	12.671706934256706	0.861644325501683	217.87920562317194	0.0	17883.7523238596	7405	24.099326325381586	23322
GSM3577639	560692.7207765587	18.247558198866102	0.695852401816012	414.7650872620142	0.0	31870.8448995011	8443	27.477462817717317	22284
GSM3577640	549596.8932551108	17.886448180919412	0.831587521872885	477.2994468163405	0.0	40231.3383195662	7050	22.943990627135744	23677
GSM3577641	395282.3964746719	12.864334184094506	0.760168248570545	235.55528584250615	0.0	25603.1910987377	6855	22.309369609789435	23872
GSM3577642	336116.49921464885	10.938799727101534	0.812685364626774	112.5565326050958	0.0	9584.4011520626	7375	24.001692322712923	23352
GSM3577643	578882.0079497561	18.839522503002446	0.893821275359761	521.0883105470889	0.0	40129.7233666507	7736	25.1765548214925	22991
GSM3577644	281630.8546122562	9.165582536930264	0.913972211789983	80.38982594121788	0.0	6527.1332499667	7799	25.38158622709669	22928
GSM3577645	734236.8829010864	23.89549526153176	0.833269579123014	681.2570739423908	0.0	42749.5677731246	9095	29.59937514238292	21632
GSM3577646	490006.01888176554	15.947082985054367	0.819628520057357	349.09147326196444	0.0	25093.8730597766	8058	26.22449311680281	22669
GSM3577647	371789.42122389993	12.099763114651607	0.855504178922113	159.2524030991451	0.0	13112.7780654542	7549	24.567969538191168	23178
GSM3577648	980966.9877342352	31.925244499438126	0.669384459861083	1021.1958167381221	0.0	72323.9286122232	9563	31.12246558401406	21164
GSM3577649	374430.526822831	12.185717018349694	0.765085814379004	130.10404397798916	0.0	10101.6985925773	8438	27.46119048393921	22289
GSM3577650	403336.01009819645	13.126436362098366	0.835452694317664	227.1070572254462	0.0	18320.6313782795	6621	21.547824388973865	24106
GSM3577651	363757.0562897995	11.838352468181062	0.792881350714888	192.5090577017454	0.0	14528.5856286564	8281	26.950239203306538	22446
GSM3577652	534797.2993513191	17.404800317353438	0.629778588074187	249.67471997734873	0.0	28160.2117909031	8049	26.195202916002213	22678
GSM3577653	628680.9557683422	20.460212704407923	0.717163892515801	516.8025716739812	0.0	33104.7931445913	8346	27.161779542421975	22381
GSM3577654	606929.6907953253	19.752325016933813	0.750329981532847	475.8779215239541	0.0	38553.0726485967	8280	26.946984736550917	22447
GSM3577655	409976.6309520882	13.34255316015518	0.797219581301315	183.74918132442951	0.0	18243.6312409399	7521	24.476844469033747	23206
GSM3577656	808544.6803323651	26.31381782576773	0.686095662843554	746.0261375157367	0.0	50335.8640516563	9066	29.50499560646988	21661
GSM3577657	417567.6198156913	13.589599369144118	0.759175416118177	218.52254517131786	0.0	17610.4860184549	8010	26.06827871253295	22717
GSM3577658	593068.5387503813	19.30121843168488	0.860635495338571	536.6475157470423	0.0	44974.8212710299	7928	25.80141243857194	22799
GSM3577659	354324.2270698176	11.531364177102144	0.846271137628089	148.53001118054098	0.0	12496.0228837794	7392	24.0570182575585	23335
GSM3577660	940232.5306902218	30.599555136857546	0.691430408605309	974.1588581357531	0.0	63942.5973633021	8451	27.503498551762295	22276
GSM3577661	454659.4988027427	14.79674223981328	0.853845019176922	345.35313402685364	0.0	26285.2566471797	8057	26.22123865004719	22670
