# QC Report for S1
# Generated by step3_normalization.py

## Summary Statistics
study_id: S1
n_samples: 30
n_samples_AD: 12
n_samples_Control: 18
n_genes_total: 27130
n_genes_variable: 25359
total_raw_counts: 381786709
mean_counts_per_sample: 12726223.64
median_counts_per_sample: 12724437.71
mean_detected_genes_per_sample: 22161.20
mean_zero_percent: 18.31

## Sample-level QC Metrics
sample_id	total_counts	mean_expression	median_expression	std_expression	min_expression	max_expression	zero_count	zero_percent	detected_genes
21-1A.RNA	11794069.799674891	434.72428306947626	56.7924745259858	2819.118425495588	0.0	357230.23265811	4987	18.38186509399189	22143
20-1T.RNA	12082100.842294225	445.34098202337725	53.2401198477265	2084.3670731963794	0.0	225868.697127572	4963	18.293402137854773	22167
23-2A.RNA	11556738.70982992	425.97636232325544	59.2732710355413	2425.2523637978143	0.0	302413.233455044	4783	17.629929966826392	22347
22-2T.RNA	13313804.957533017	490.7410599901591	54.972449198185	3167.3177505153835	0.0	280531.737918231	4812	17.736822705492074	22318
26-3A.RNA	12516782.63836683	461.36316396486654	53.6373135812569	2859.2088361938613	0.0	296162.400073249	5009	18.46295613711758	22121
24-3T.RNA	12427294.0871311	458.06465488872465	58.9658647617797	3572.837323345438	0.0	366311.527788981	5111	18.838923700700335	22019
27-5A.RNA	12534787.750314947	462.02682456007915	55.4917475630553	2768.3055098926225	0.0	311303.418900401	5336	19.66826391448581	21794
25-5T.RNA	13245858.332589798	488.23657694765194	53.7767872146363	4618.394968892039	0.0	618251.287427532	5158	19.012163656468854	21972
29-6T.RNA	12993881.623109397	478.94882503167696	54.027041304866	3244.3826619632496	0.0	383004.179055151	5041	18.580906745300403	22089
31-7T.RNA	11973764.619462725	441.3477559698756	57.6005349756227	2492.5030686669947	0.0	324374.794509084	4922	18.14227792112053	22208
28-8T.RNA	11647962.78095907	429.3388419078168	58.1880265611559	2265.312198212272	0.0	195860.897404851	4954	18.260228529303355	22176
30-9T.RNA	11763948.530350052	433.61402618319397	58.3256010895498	2228.106951397932	0.0	242099.849189206	4680	17.250276446737928	22450
18-10A.RNA	12898245.582736425	475.4237221797429	53.988887939496	3393.249830045345	0.0	385981.714655019	4893	18.035385182454846	22237
11-10T.RNA	13043160.938867323	480.76523917682727	56.370733905517	2021.9916519292522	0.0	154801.551402404	4192	15.45152967194987	22938
19-11A.RNA	11671682.509284338	430.21314077715954	58.8722226465612	2234.971472129396	0.0	256721.768621887	4837	17.828971618134908	22293
13-11T.RNA	11866980.021319801	437.4117221275268	58.8092581238504	2188.5570039503896	0.0	231588.441672896	4498	16.57943236269812	22632
15-13T.RNA	12295430.23150103	453.2042105234438	57.765528230715	2141.4505708177094	0.0	214644.187040887	4770	17.58201253225212	22360
16-14T.RNA	13633174.59662566	502.5128859795673	50.8387112480445	2159.211897891113	0.0	144521.077469967	4678	17.242904533726502	22452
12-6A.RNA	12826349.138017228	472.77365049823914	51.8395400644198	2361.5992071686064	0.0	195928.467379547	5011	18.47032805012901	22119
14-7A.RNA	11988354.893108172	441.8855471105113	57.1794411610726	2513.0021932153054	0.0	269089.748917921	4751	17.51197935864357	22379
10-8A.RNA	13094707.873381775	482.66523676305843	48.0132594011666	2069.9119732657045	0.0	189079.839164013	4850	17.876889052709178	22280
17-9A.RNA	12657647.023732912	466.5553639415006	51.10866192583	2264.8481591072914	0.0	194629.450912849	5068	18.680427570954663	22062
2-12A.RNA	13310618.738709409	490.62361735014406	45.9932263957171	2115.401705006476	0.0	154882.543681626	5010	18.466642093623296	22120
4-13A.RNA	13924019.913747678	513.2333178675885	46.005603636338	2232.0971344198706	0.0	162785.867078555	5365	19.775156653151495	21765
6-14A.RNA	13464448.43326754	496.2937129844283	46.1937204355506	2016.345410502518	0.0	155892.258039874	5042	18.58459270180612	22088
8-15A.RNA	14552280.75319539	536.3907391520601	40.9497511943786	3836.1709977855426	0.0	436897.205992951	5921	21.82454847032805	21209
9-16A.RNA	12791228.40041884	471.4791153858769	52.11352438714	2145.4715838747065	0.0	223943.513245995	4867	17.939550313306302	22263
3-17T.RNA	13849780.656215567	510.4968911247905	50.949992311995	3647.200172871836	0.0	407098.483308469	5659	20.858827865831184	21471
5-18T.RNA	13475401.358399685	496.6974330409025	51.7758346357902	2956.853147748405	0.0	267740.607276866	5023	18.514559528197566	22107
7-19T.RNA	12592203.326170858	464.1431377136328	55.9129857630941	2895.7584603253445	0.0	323654.687283982	4873	17.961666052340583	22257

## Gene-level QC Metrics (first 1000 genes)
gene_id	mean_expression	median_expression	std_expression	variance	cv	zero_count	detected_samples
LOC102467224	1.5483030372228896	1.216014369271675	1.1713793443021552	1.3721295682577468	0.7565568988375797	6	24
ZBTB42	37.48890334254217	34.872795515156255	16.968928671824973	287.9445402694836	0.4526387052930604	0	30
FCAMR	0.23273431817650356	0.0	0.49641323358921374	0.2464260984824993	2.132961041064595	24	6
ZNF503-AS2	32.02465564476072	34.16358521516635	11.223584567722122	125.96885054881018	0.35046698681858635	0	30
NFU1	115.76793468455394	111.0885447425335	28.901050736341507	835.270733664586	0.2496464225183898	0	30
ELSPBP1	0.061386096376488536	0.0	0.23366400306847437	0.054598866329984	3.8064646045479757	28	2
ZRANB3	180.26424971984986	185.0994008896615	47.70033330104771	2275.3217970310416	0.26461338493450137	0	30
MECR	304.409379115015	285.49748740602297	71.17322369078613	5065.62777053868	0.23380759126969855	0	30
LOC105755953	0.0	0.0	0.0	0.0	0.0	30	0
LINC00343	4.702850016598477	2.916215916338125	5.4077131804436105	29.24336184194355	1.1498800007138976	6	24
AARSD1	0.6758865947999364	0.0	0.8554828576447898	0.7318509197240957	1.2657195219236657	16	14
DEXI	436.0793993639329	433.1597248661425	79.52034264286443	6323.484894038564	0.18235289894192	0	30
DCHS1	1331.3561723535697	1309.548895261225	292.8538413485754	85763.37239261654	0.21996656299032943	0	30
PSMD2	1662.2632586661832	1548.3575635940501	377.32055206944364	142370.79901398974	0.2269920544187504	0	30
GABRR1	2.7503478199693996	2.1801454638102546	2.1075440475399954	4.441741912321266	0.7662827342192101	5	25
PKNOX2	608.7110498134599	631.6876636574625	262.79554742339104	69061.49974555978	0.43172462123683314	0	30
TIPARP	418.90861272311224	357.88884111926495	196.61773341061144	38658.53309152627	0.46935710424404825	0	30
ADAM20	94.38445251718203	94.69642984900075	30.724259597713193	943.9801278276711	0.32552246454065153	0	30
LOC284788	0.0	0.0	0.0	0.0	0.0	30	0
MIR4715	0.17431707476950434	0.0	0.5525506167399056	0.30531218405965005	3.1698020258229507	27	3
PURB	1353.6965690675895	1270.798958489825	286.91459998568337	82319.98768494469	0.21194897478635616	0	30
H1FX	1165.3100973229743	1182.018850075895	202.0013601698536	40804.54951047092	0.17334558469364006	0	30
PCDH18	111.17709655893808	105.984138202378	35.36669766187851	1250.803303506723	0.3181113624705034	0	30
ZNF625	47.929382501423454	49.632545553199094	10.558744324087737	111.48708170145501	0.22029794195187374	0	30
EFL1	176.49235525457698	165.64418115105502	35.45751850172151	1257.235618299923	0.2009011577333007	0	30
CPA6	1.031368628333516	0.9158083136589585	1.1646568967980593	1.3564256872592855	1.1292343637404507	13	17
TRAF5	115.36306038689487	113.3143112801085	33.155246344034424	1099.270360133608	0.28739915734587107	0	30
RUNX1	223.06298270626763	205.751243878504	142.5595291421644	20323.219349235616	0.6390998964175455	0	30
LOC728095	18.183212456182144	17.1260024316092	12.269518558082341	150.54108564712695	0.674771775760163	0	30
HOPX	818.5886769481564	772.8418529870455	503.59099257721005	253603.88780489963	0.6151941833042286	0	30
SELPLG	188.3465114123696	161.2201198656735	97.75104151235773	9555.266116750685	0.5189957636026485	0	30
C2orf73	10.69127008866192	9.028222449625954	5.248776481558366	27.54965455336022	0.4909404063343875	0	30
HOXD3	5.505585491276441	2.019488486621065	7.653691037043914	58.57898649052635	1.3901684115469881	6	24
LINC01260	27.962341556589006	28.983475560428253	8.937431430548692	79.87768057575964	0.3196238559800686	0	30
ELK3	180.70175907882557	172.8914359590985	43.74554387877636	1913.672609249948	0.24208698411006455	0	30
TCTEX1D4	25.789764476457737	20.130973021425852	22.37664219546838	500.7141159440161	0.8676559344268137	0	30
EBF4	325.9860370170281	298.9483806527795	155.86999401607656	24295.45503457174	0.478149295725616	0	30
FOXM1	41.043126867635046	43.18542340480635	16.71245461115371	279.3061391298729	0.4071925286065979	0	30
TSEN54	190.48626089090945	176.84889133772452	71.0023367681266	5041.331826534462	0.37274256125374466	0	30
LOC101929134	1.5606807597222572	1.37798273407979	1.0468948738786286	1.0959888769533497	0.6707937336684645	5	25
RNU6ATAC	249.1074328481561	229.3422342054565	139.86283997037233	19561.61400457798	0.5614559082852658	0	30
DERL3	51.99776803398381	42.49184928635355	28.974325931230787	839.5115631691929	0.5572224929403555	0	30
SNORA84	0.654803959458084	0.4028031378345915	0.8340040301995599	0.6955627223891084	1.2736698032335998	15	15
C8B	0.3641706446563983	0.0	0.9631026437723832	0.9275667024413541	2.644646563099802	24	6
PCDH1	2296.6111051704556	2216.53321180675	732.4209454498364	536440.4413336322	0.31891378727591574	0	30
